ADGE,ApiName,API Compliance,TotalHits
ACTVET,TammJourneyActvet,64.98%,"78,333"
ADAFSA,TammJourneyAdfca,95.76%,"4,445,394"
ADCA,ADCustomsClearance,97.18%,213
ADCA,ADCustomsClearanceManifest,90.11%,"8,260"
ADCA,ADCustomsClearanceManifestOB,20.85%,398
ADCA,ADCustomsClearanceProductManagementPS,66.67%,3
ADCA,ADCustomsClearanceVehicleManagement,80.65%,336
ADCA,ADCustomsCustomerCare,100.00%,45
ADCA,ADCustomsGenericServices,95.39%,"591,493"
ADCA,ADCustomsGetDeclarationCharges,92.19%,"192,119"
ADCA,ADCustomsGetPaymentMethods,94.75%,"115,633"
ADCA,ADCustomsIntellectualPropertyManagement,95.29%,"1,551"
ADCA,ADCustomsLicenseAndRegistration,35.17%,381
ADCA,ADCustomsLicenseAndRegistrationPS,16.67%,6
ADCA,ADCustomsMakasaDeclaration,88.29%,111
ADCA,ADCustomsPortalServices,83.33%,6
ADCA,ADCustomsPrivateWarehouseDeclaration,94.30%,"3,839"
ADCA,ADCustomsProcessCustBillDeclaration,85.71%,70
ADCA,ADCustomsProcessFreeZoneDeclaration,49.64%,"1,396"
ADCA,ADCustomsProcessUtility,86.67%,"551,757"
ADCA,ADCustomsRefundManagement,80.23%,703
ADCA,ADCustomsRevenue,92.41%,79
ADCA,ADCustomsRevenueBankGuarantee,80.95%,42
ADCA,ADCustomsUtilitiesServiceDetails,98.85%,"27,072"
ADCA,ADCustomsValidateVehicleRegistration,88.20%,"94,115"
ADCA,TammJourneyAdc,55.92%,"3,626,631"
ADCCI,TammJourneyAdcci,95.54%,"5,784,631"
ADEK,ApprovalLetter,98.45%,"2,457"
ADEK,SchoolBS,86.48%,"11,216"
ADEK,TammJourneyAdek,92.57%,"203,717"
ADIO,TammJourneyAdio,95.02%,"2,991"
ADM,InternationalExhibitionPermit,50.56%,89
ADP,AccidentServices,56.31%,"30,187"
ADP,ADPConfiscationRelease,76.52%,"2,036"
ADP,ADPK9Service,0.00%,1
ADP,ADPLoadService,57.33%,"26,222"
ADP,ADPPrisonerVisit,81.68%,"1,561"
ADP,ADPPrisonHold,64.24%,632
ADP,ADPReturnInsuranceService,73.29%,"28,476"
ADP,ADPSmartLicenseBan,88.56%,"2,177"
ADP,ADPSocialServicesRest,89.09%,"3,226"
ADP,ADPSpecialPlate,89.48%,"23,065"
ADP,ADPTetraDevices,82.17%,129
ADP,ADPTrafficAwareness,71.70%,53
ADP,ADPTrainingCourses,77.03%,"1,010"
ADP,ADPWeaponsService,91.46%,"3,676"
ADP,CIDPermitService,29.37%,"5,595"
ADP,DriverServices,70.80%,"706,812"
ADP,DrivingLicense,33.61%,"3,724,200"
ADP,OwnedPlate,91.30%,"3,148,146"
ADP,PlateService,89.78%,"3,171,396"
ADP,TammJourneyAdp,41.96%,"6,938,039"
ADP,TicketServices,86.58%,"16,855,969"
ADP,TrafficProfile,92.46%,"24,702,756"
ADP,TrainerPermit,84.81%,"1,231"
ADP,TryFile,24.05%,"818,629"
ADP,Utilities,89.80%,"1,937,070"
ADP,VehicleOwnership,64.34%,"5,097,459"
ADP,VehicleService,65.42%,"21,375,350"
ADP,WhomItConcernCertificates,71.55%,"2,759"
ADPF,TammJourneyPension-fund,92.62%,"2,049,374"
DCD,DCDLicensingServices,64.07%,"4,409"
DCD,TammJourneyDcd,97.74%,"3,410,259"
DCT,DCTEventLicensingService,100.00%,64
DCT,DCTSSOService,95.82%,"29,087"
DCT,DCTToken,100.00%,99
DCT,DCTTouristGuideService,98.00%,"58,771"
DCT,DCTVenues,91.30%,23
DCT,TammJourneyDct,93.45%,"961,575"
DED,AdvertisingAPI,67.42%,"1,860"
DED,BusinessLicense,26.91%,"95,869"
DED,DEDBusinessAPI,80.40%,"291,100"
DED,DPEBusinessLicense,96.80%,"1,250"
DED,IndustrialAPI,20.93%,86
DED,InfoDesk,85.29%,"1,999"
DED,MedicalJourney,43.31%,"43,911"
DED,MedicalJourneyV3,98.74%,636
DED,TammJourneyDed,90.42%,"1,911,403"
DED,TradeNameSearchProxy,84.15%,"3,034"
DMT,AgriculturalAndCosmeticPermit,72.95%,"1,320"
DMT,ApproximatePreviewOfPlotLocation,42.84%,"3,576"
DMT,Assignserviceproviderforproject,82.09%,67
DMT,BeachBooking,85.91%,"1,157"
DMT,BoundaryWall,48.58%,"1,089"
DMT,BuildingPermits,0.00%,7
DMT,CancelFoodTrucksPermit,77.78%,18
DMT,CancelPropertyManagementAgreement,40.49%,"3,813"
DMT,CancelTemporaryOutdoorSeatingPermitOrPavementWorks,61.14%,404
DMT,CancelTenancyContract,61.46%,"70,065"
DMT,CarShedWithinTheLand,65.57%,944
DMT,CdpAssignServiceProvider,69.57%,161
DMT,CertificateOfLandFreeOfBuildings,54.15%,"9,820"
DMT,CloseTenancyContract,60.27%,"73,664"
DMT,CommodityPurchaseOrder,47.02%,"103,876"
DMT,ConvertPublicHouseToResidentialLand,37.44%,211
DMT,CrmApiUPC,92.32%,"16,401"
DMT,DariAzure,50.00%,14
DMT,EngineerLicenseDeactivation,58.82%,34
DMT,EngineerRegistrationServicesWizard,80.69%,"7,659"
DMT,GardenBooking,76.00%,"4,896"
DMT,GenerateReport,0.21%,"26,292"
DMT,GetStartAction,90.45%,"66,240"
DMT,IncreasePlotArea,75.32%,"6,508"
DMT,InterimExtensionForEngineers,53.72%,471
DMT,InterimRegistrationForEngineers,53.18%,"27,298"
DMT,IssueEngineerCertifiedLetters,37.22%,"1,663"
DMT,IssuingLicenseToInstallPublicDrinkingWaterDispenser,61.89%,"2,876"
DMT,IssuingLicenseToPublicSwimmingPool,58.76%,434
DMT,IssuingSlaughterhouseEntryCard,83.01%,365
DMT,LaunchProjectPermit,47.50%,40
DMT,licensingDrinkingWaterTankCleanerRegistration,55.77%,52
DMT,licensingPrimaryDeveloper,77.82%,487
DMT,licensingRelicensingAccountKeeper,54.17%,72
DMT,licensingRelicensingAuctioneerCompany,0.00%,7
DMT,licensingRelicensingAuctioneerIndividual,7.69%,26
DMT,licensingRelicensingBrokerCompany,17.12%,"2,430"
DMT,licensingRelicensingBrokerEmployee,0.45%,"9,673"
